Property Title,Location,Price,Description,Beds,Baths,Toilets,Agent Phone
3 BEDROOM HOUSE FOR RENT,3 BEDROOM HOUSE FOR RENT,"₦ 10,000,000/year","FOR RENT: WELL RENOVATED ,WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOU..  Read more",3 beds,4 baths,4 Toilets,08144417520
COMMERCIAL PROPERTY FOR RENT,COMMERCIAL PROPERTY FOR RENT,"₦ 210,000/sqm",FOR RENT: A NEWLY BUILT WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOUS ..  Read more,0 beds,1 baths,1 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 20,000,000/year",FOR RENT: A NEWLY BUILT WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOUS ..  Read more,4 beds,5 baths,5 Toilets,08144417520
3 BEDROOM HOUSE FOR RENT,3 BEDROOM HOUSE FOR RENT,"₦ 6,500,000/year","FOR RENT: WELL RENOVATED, WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOU..  Read more",3 beds,4 baths,4 Toilets,08144417520
3 BEDROOM HOUSE FOR RENT,3 BEDROOM HOUSE FOR RENT,"₦ 15,000,000/year","FOR RENT: Well renovated, world-class smart standard pay and moving very sharp and spaciou..  Read more",3 beds,4 baths,4 Toilets,08144417520
5 BEDROOM HOUSE FOR RENT,5 BEDROOM HOUSE FOR RENT,"₦ 40,000,000/year",FOR RENT: A newly built world class smart standard pay and moving very sharp and spacious ..  Read more,5 beds,6 baths,6 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 15,000,000/year",FOR RENT: Features:big living room Guest toilet Service estate Generator AC All ..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 15,000,000/year",FOR RENT: Features:spacious living room Dinning area Guest toilet Tarred access road ..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 7,000,000/year",FOR RENT: Features:spacious living room Spacious dinning area Fully fitted kitchen Am..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 10,000,000/year",FOR RENT: Features: 2 living room Ante room Guest toilet All room en-suite Corner pie..  Read more,4 beds,4 baths,5 Toilets,08036492297
3 BEDROOM HOUSE FOR RENT,3 BEDROOM HOUSE FOR RENT,"₦ 30,000,000/year",FOR RENT: A newly built world-class smart standard pay and moving very sharp and spacious ..  Read more,3 beds,4 baths,4 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 13,000,000/year",FOR RENT: A newly built world class smart standard pay and moving very sharp and spacious ..  Read more,4 beds,5 baths,5 Toilets,08144417520
2 BEDROOM HOUSE FOR RENT,2 BEDROOM HOUSE FOR RENT,"₦ 8,000,000/year",FOR RENT: A NEWLY BUILT WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOUS..  Read more,2 beds,3 baths,3 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 20,000,000/year",FOR RENT: Features:2 living room Air conditioning All room en-suite Rooftop balcony ..  Read more,4 beds,4 baths,5 Toilets,08036492297
5 BEDROOM HOUSE FOR RENT,5 BEDROOM HOUSE FOR RENT,"₦ 20,000,000/year",FOR RENT: Features:spacious living room Family lounge Guest toilet All room en-suite ..  Read more,5 beds,5 baths,6 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 6,000,000/year",FOR RENT: Features: 2 living room Guest All room en-suite Fitted kitchen Tired acces..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 10,000,000/year",FOR RENT: Feature: very spacious 2 living room Family lounge Ante room Very spacious fi..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 5,500,000/year",FOR RENT: Features:spacious living room Ante room Serene and beautiful estate Fully fit..  Read more,4 beds,4 baths,5 Toilets,08036492297
8 BEDROOM HOUSE FOR RENT,8 BEDROOM HOUSE FOR RENT,"₦ 80,000,000/year",FOR RENT: A NEWLY BUILT WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOUS ..  Read more,8 beds,9 baths,9 Toilets,08144417520
2 BEDROOM HOUSE FOR RENT,2 BEDROOM HOUSE FOR RENT,"₦ 4,000,000/year","FOR RENT: WELL RENOVATED, WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOU..  Read more",2 beds,3 baths,3 Toilets,08144417520
5 BEDROOM HOUSE FOR RENT,5 BEDROOM HOUSE FOR RENT,"₦ 8,000,000/year",FOR RENT: Features:3living room Family lounge Guest toilet Fully fitted kitchen with pa..  Read more,5 beds,5 baths,6 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 7,500,000/year",FOR RENT: Feature:spacious living room Spacious room Balcony Family lounge Fitted ward..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 10,000,000/year",FOR RENT: Features: very Spacious living room Ante room Ample parking space Standby ge..  Read more,4 beds,4 baths,5 Toilets,08036492297
5 BEDROOM HOUSE FOR RENT,5 BEDROOM HOUSE FOR RENT,"₦ 25,000,000/year","FOR RENT: A NEWLY BUILT, WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOUS..  Read more",5 beds,6 baths,6 Toilets,08144417520
3 BEDROOM HOUSE FOR RENT,3 BEDROOM HOUSE FOR RENT,"₦ 8,000,000/year",FOR RENT: A NEWLY BUILT WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOUS ..  Read more,3 beds,4 baths,4 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 10,000,000/year",FOR RENT: A NEWLY BUILT WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOUS ..  Read more,4 beds,5 baths,5 Toilets,08144417520
5 BEDROOM HOUSE FOR RENT,5 BEDROOM HOUSE FOR RENT,"₦ 14,000,000/year","FOR RENT: WELL RENOVATED, WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOU..  Read more",5 beds,6 baths,6 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 10,000,000/year","FOR RENT: WELL RENOVATED, WORLD CLASS SMART STANDARD PAY AND MOVING VERY SHARP AND SPACIOU..  Read more",4 beds,5 baths,5 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 15,000,000/year",FOR RENT: A newly built world-class smart standard pay and moving very sharp and spacious ..  Read more,4 beds,5 baths,5 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 9,000,000/year",FOR RENT: Features:big living room Dining area Fully fitted kitchen with pantry All ro..  Read more,4 beds,4 baths,5 Toilets,08036492297
5 BEDROOM HOUSE FOR RENT,5 BEDROOM HOUSE FOR RENT,"₦ 20,000,000/year","FOR RENT: BRAND NEW 5 BEDROOM SEMI DETACHED DUPLEX WITH 1ROOM BQ,VERY SHARP AND SPACIOUS..  Read more",5 beds,6 baths,6 Toilets,08144417520
3 BEDROOM HOUSE FOR RENT,3 BEDROOM HOUSE FOR RENT,"₦ 7,000,000/year",FOR RENT: Features:very spacious parlour Dinning area Pop finishing Fitted wardrobe Al..  Read more,3 beds,3 baths,4 Toilets,08036492297
3 BEDROOM HOUSE FOR RENT,3 BEDROOM HOUSE FOR RENT,"₦ 50,000,000/year","FOR RENT: COPERATE TENNANT NEEDED, A NEWLY BUILT WORLD CLASS SMART STANDARD PAY AND MOVING..  Read more",3 beds,4 baths,4 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 9,000,000/year",FOR RENT: Features:very spacious living room Spacious Dining Fitted kitchen Bq Balcon..  Read more,4 beds,4 baths,5 Toilets,08036492297
6 BEDROOM HOUSE FOR RENT,6 BEDROOM HOUSE FOR RENT,"₦ 50,000,000/year",FOR RENT: A newly built world-class smart standard pay and moving very sharp and spacious ..  Read more,6 beds,7 baths,7 Toilets,08144417520
6 BEDROOM HOUSE FOR RENT,6 BEDROOM HOUSE FOR RENT,"₦ 45,000,000/year","FOR RENT: Under construction, well built world class smart standard very sharp and spaciou..  Read more",6 beds,7 baths,7 Toilets,08144417520
5 BEDROOM HOUSE FOR RENT,5 BEDROOM HOUSE FOR RENT,"₦ 20,000,000/year",FOR RENT: A newly built world-class smart standard pay and moving very sharp and spacious ..  Read more,5 beds,6 baths,6 Toilets,08144417520
5 BEDROOM HOUSE FOR RENT,5 BEDROOM HOUSE FOR RENT,"₦ 25,000,000/year","FOR RENT: UNDER RENOVATION, WELL BUILT WORLD CLASS SMART STANDARD VERY SHARP AND SPACIOUS..  Read more",5 beds,6 baths,6 Toilets,08144417520
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 12,000,000/year",FOR RENT: Features:2 spacious living room Guest toilet Fitted kitchen All room en-suit..  Read more,4 beds,4 baths,5 Toilets,08036492297
4 BEDROOM HOUSE FOR RENT,4 BEDROOM HOUSE FOR RENT,"₦ 20,000,000/year",FOR RENT: A newly built world-class smart standard very sharp and spacious luxury pay and ..  Read more,4 beds,5 baths,5 Toilets,08144417520
